transpose_i_j transpose_j_i
301 288.8 345.6 
302 290.6 337.2 
303 330.8 369.9 
304 277.5 309.4 
305 370.1 406.9 
306 283.4 307.8 
307 322.8 328.6 
308 369.2 426.1 
309 292.6 333.6 
310 307.4 353.9 
311 350.9 377 
312 289.9 318.9 
313 301.9 318 
314 344.1 358.9 
315 342.3 674.8 
316 318.9 697.6 
317 342.5 912.3 
318 308.9 812.2 
319 318 349.2 
320 324.8 356.8 
321 333.6 356.1 
322 340.1 366.4 
323 303 368.2 
324 394.9 462 
325 325 364.1 
326 328.3 372.7 
327 385.5 429.7 
328 329 354.7 
329 352.6 353.4 
330 331.8 349.9 
331 332.3 416.6 
332 368 471.3 
333 359.9 436.8 
334 365.5 461.9 
335 335.2 373.9 
336 425.6 430.2 
337 344.8 380.3 
338 364.4 342.5 
339 386 452.4 
340 362.2 422.8 
341 419.1 500.5 
342 348.1 408.9 
343 363.4 367.1 
344 379.5 411.2 
345 428.1 473 
346 354.5 400.8 
347 393.9 452 
348 376.3 476 
349 372.2 469.4 
350 442.5 543.2 
351 392 463.2 
352 447 521.7 
353 457.2 432 
354 400.7 452.1 
355 441.3 447.9 
356 419 488.1 
357 385.1 453.1 
358 493.1 556 
359 395.8 467.1 
360 461 533.3 
361 415.5 468.1 
362 433.2 467.9 
363 403.6 498.1 
364 439.8 541.9 
365 417.5 504 
366 467.7 579.6 
367 436.6 531.5 
368 537.6 604.5 
369 444.9 483.9 
370 516.5 649.7 
371 438.5 529.8 
372 423 485.7 
373 436.4 510.6 
374 443.9 511.9 
375 451.4 484.9 
376 452.4 508.1 
377 449.4 483.8 
378 445.6 488.8 
379 492 1187.2 
380 495.4 1182 
381 462.2 1086.8 
382 464.9 1153.6 
383 530.3 622 
384 492 626.1 
385 586 710.9 
386 559.7 693.6 
387 460 559.7 
388 598.8 717.7 
389 472.5 620.7 
390 512.2 631.7 
391 489.4 560.2 
392 499.4 570.5 
393 496.9 558.9 
394 476.7 531.5 
395 525.7 669 
396 522.4 598 
397 681.9 799 
398 667.8 815.2 
399 573.6 648.2 
400 597.3 624.8 
401 511.4 572.7 
402 617.7 711.7 
403 524.3 653.5 
404 590 722.1 
405 530.7 642.6 
406 521.8 654.7 
407 546.4 596.4 
408 561.6 626.3 
409 533.6 591.2 
410 600.5 689.9 
411 526.4 1300.4 
412 564.9 1296.7 
413 526.7 1428.6 
414 528.6 1320.5 
415 581.7 666.6 
416 623.5 791.8 
417 595.4 674.8 
418 573.2 681 
419 628.4 768 
420 602 754 
421 566.8 718.5 
422 639.6 817.6 
423 603.3 697 
424 625.8 686 
425 575.2 665.4 
426 687.9 783.8 
427 585.9 726.4 
428 578.7 743.1 
429 678.8 874.3 
430 704.3 829.1 
431 658.4 761.1 
432 614.2 699 
433 727.9 827.5 
434 655.8 750.7 
435 594.8 773 
436 614.9 758.9 
437 611 803.3 
438 679.6 886.4 
439 618.3 699.8 
440 618.3 711.1 
441 715.7 832.9 
442 647.7 754.3 
443 672.9 1837.2 
444 667.2 1604.8 
445 630.1 1334.7 
446 610.9 1679.1 
447 711 847.9 
448 646.1 757 
449 627.8 765.9 
450 716.8 857.8 
451 642.2 818.6 
452 663.2 871.6 
453 641.2 800.3 
454 677.8 882.9 
455 734.9 891 
456 669.3 757.8 
457 663 763.1 
458 700.4 810.7 
459 677.3 848.3 
460 724.3 946.7 
461 665.5 808.1 
462 664.8 903.8 
463 707.9 863.1 
464 697.5 855.7 
465 806.3 1008.3 
466 733.1 851 
467 705.6 899.6 
468 688.6 837.6 
469 684.2 869 
470 710.1 957.8 
471 918.1 1048.1 
472 780.7 898.1 
473 723.9 839.1 
474 765.4 901.7 
475 731.1 1550 
476 731.1 1822.3 
477 747.5 1742.1 
478 732.8 1926.6 
479 799.7 964.7 
480 881.1 1060.8 
481 828.4 1018.6 
482 740 934.6 
483 814.3 1014.7 
484 742 980.9 
485 794.5 934.6 
486 762.6 979.4 
487 1026.3 1108 
488 1038.2 965.2 
489 762 758.8 
490 743.9 686.1 
491 731.6 895.1 
492 809.3 1026.5 
493 812 1074.9 
494 869.6 1139.2 
495 863.3 1069.6 
496 856.3 1077.5 
497 800.7 1015.7 
498 929.6 1158 
499 892.7 1165.1 
500 832.9 1073.9 
