mult_i_j_k mult_i_k_j mult_j_i_k mult_j_k_i mult_k_i_j mult_k_j_i
136 5.1 5.7 5.2 10.1 9.4 11.4 
137 5.2 5.95 5.4 10.05 8.7 11.9 
138 5.55 6.1 5.6 9.75 9.5 11.65 
139 5.55 6.2 5.65 10.45 9.35 11.9 
140 5.6 6.1 5.45 11.1 9.6 12.55 
141 5.6 5.95 5.7 11.25 9.6 12.95 
142 5.55 6.25 5.9 11.2 10 12.65 
143 5.85 6.45 5.9 10.4 10.15 12.55 
144 5.95 6.7 6 10.6 10.95 12.75 
145 5.95 6.6 6.1 10.85 10.7 12.75 
146 6.15 6.75 6.4 11.3 10.75 13.25 
147 6.05 6.8 6.65 12.15 11 13.85 
148 6.4 7.15 6.7 12.5 11.05 14.25 
149 6.6 7.1 6.6 12.4 11.25 14.1 
150 6.45 7.4 6.8 12.75 11.55 14.2 
151 6.65 7.7 6.85 12.15 12.35 14.45 
152 6.8 7.45 7 13 12.25 15.25 
153 6.8 7.95 7.25 12.45 12.35 14.65 
154 7.2 7.75 7.25 12.6 12.05 14.7 
155 7.25 7.95 7.5 12.55 12.85 14.65 
156 7.2 8.25 7.65 11.4 13.45 14.15 
157 7.3 8.5 7.95 12.8 13.2 14.9 
158 7.65 8.75 8.05 12.45 13.7 15 
159 7.7 8.65 8.2 14.1 13.35 16.5 
160 8 8.7 8.2 14.15 13.75 16.7 
161 8.15 8.7 8.45 14.65 14.3 17.45 
162 8.15 9.1 8.6 14.9 14.2 17.5 
163 8.2 9.25 8.8 15.5 14.65 18 
164 8.55 9.65 8.9 16.1 14.4 18.45 
165 8.55 9.55 9.1 16.6 15 18.8 
166 9.1 10 9.45 16.8 15.2 19.4 
167 9.1 10.75 9.45 15.85 15.75 18.35 
168 9.1 10.2 9.5 16.2 16.45 19.4 
169 9.6 10.8 10 17.7 16.25 21 
170 9.45 10.65 9.8 17.35 16.45 20.35 
171 9.45 10.7 10.15 17.35 16.7 20.1 
172 9.85 11.25 10.45 17.9 16.7 20.4 
173 10 11.2 10.6 18.2 16.8 20.8 
174 10 11 10.55 18.35 18.4 21.35 
175 10.45 11.6 10.9 18.1 17.75 21.3 
176 10.35 11.35 11.1 18.45 17.85 22.05 
177 10.75 11.85 11.15 18.3 18.25 21.65 
178 10.85 12.1 11.55 19.35 18.8 22.95 
179 10.85 12.25 11.55 19.25 18.55 22.4 
180 11.25 12.75 11.35 19.45 18.75 22.8 
181 12.3 13.2 12.75 22.5 20.3 25.85 
182 12.1 13.7 12.2 23.55 20.95 24.8 
183 11.75 14.05 12.25 25.45 22.25 26.85 
184 12.6 14.05 13.15 24.55 20.2 26.1 
185 12.25 13.15 12.7 21.3 20.05 25.05 
186 12.25 14 12.75 21.25 20.2 25.05 
187 13.25 14.2 13.45 18 21.55 23.05 
188 14.6 14.55 14.55 20.85 22.65 25.5 
189 14.55 15.55 14.6 20.7 23 25.2 
190 14.55 14.95 15.4 20.65 23 25.15 
191 14.25 14.95 14 23.3 22.35 27.9 
192 14.4 15.25 14.5 25.3 24.15 29.15 
193 14.85 16.4 14.6 24.65 23.55 28.7 
194 14.65 16.1 15.1 24.6 23.6 28.8 
195 14.05 16.1 14.9 24.25 24.35 28.4 
196 15.05 16.35 17.15 27.4 24.3 30.8 
197 14.7 16.5 15.25 25.35 24.8 29.3 
198 14.9 16.7 15.85 25 25.2 29.45 
199 15.8 16.75 15.75 25.85 25.2 30.55 
200 15.45 17.1 16.9 27.6 27.3 31.9 
201 15.65 17.45 16.45 26.5 26.5 31.3 
202 15.8 17.45 16.4 25.25 25.9 30.45 
203 16 17.5 17.8 28.95 27.05 32.5 
204 16.2 18.2 16.8 27 27.65 31.6 
205 16.3 17.85 17.4 29.5 26.75 33.95 
206 16.65 18.15 17.5 30.5 28.1 34.7 
207 17.1 18.2 17.8 28.35 28.35 34.15 
208 17.3 18.6 18 29.35 27.95 34.7 
209 17.9 19.15 19.35 31.2 29.2 35.95 
210 18.5 20.25 18.55 29.55 30 35.1 
211 18.05 19.3 18.8 30.75 29.95 35.9 
212 18.2 19.65 19.15 31.15 30.8 36.55 
213 18.45 20.55 19.9 30.95 30.7 36.4 
214 18.7 20.95 19.35 31.55 32.75 37.2 
215 19.1 21.55 19.65 32.35 33.4 38.25 
216 19.35 22.1 20.3 31.8 32.2 37.9 
217 19.5 21.7 20.55 32.15 32.5 38.65 
218 19.85 21.8 20.45 31 32.4 37.6 
219 20.1 21.9 20.55 28.15 31.7 35.6 
220 20.25 22.55 21.3 28.2 34.25 35.95 
221 20.7 23.35 21.45 29.55 35.7 36.95 
222 21.05 23.05 21.95 28.7 36.25 36.75 
223 21.15 23.85 21.8 32.15 37.05 39.55 
224 21.6 23.4 22 33.35 35.65 41.05 
225 21.65 24.4 22.5 33.4 36.65 41.05 
226 22.65 24.6 22.8 33.65 36.8 41.65 
227 22.5 24 23 34.85 37.15 41.9 
228 22.75 24.75 23.25 34.9 37.5 42.65 
229 23.2 24.85 23.55 35.7 37.55 42.75 
230 23.2 25.85 23.95 35.7 38.35 43.1 
231 24 26.95 24.4 36.1 39.25 44.35 
232 23.85 26.55 24.6 38.35 40.3 45.5 
233 24.3 26.75 25.15 38.55 39.5 45.75 
234 24.5 27 25.25 39.3 40.1 47.45 
235 24.75 26.85 25.7 39.8 40.65 47.7 
236 25 26.85 26.1 41.8 42 49.4 
237 25.25 28.25 26.05 41.4 40.3 49 
238 25.65 27.3 26.65 43.3 41.4 51.25 
239 26.1 28.25 26.95 40.45 43.85 50 
240 26.65 29.2 27.2 39.75 43.05 49.15 
241 26.65 28.7 27.7 41.15 43.95 50.9 
242 27 29.55 27.45 41.85 45.25 50.85 
243 27.45 29.7 28 41.75 43.85 51.15 
244 27.6 30.5 28.5 41.95 44.85 51.55 
245 27.9 30.5 29.3 44.55 44.2 54.4 
246 28.35 31.2 28.95 43.3 44.85 52.95 
247 30.05 31 29.55 42.95 48.45 53.25 
248 29.2 31.9 29.65 43.05 47.45 53.4 
249 29.6 32.4 30.25 43 48.75 54 
250 29.75 32.45 30.65 44.9 48.45 55.9 
251 33.3 34.3 32.8 44.1 48.85 55.4 
252 33.8 34.5 32.95 44.6 49.85 56.25 
253 34.5 35.3 33.95 44.8 50.5 56.65 
254 34.35 35.15 34.1 47.85 51 58 
255 31.55 34.35 32.3 47.8 50.2 58.8 
256 32 35.65 32.75 51.65 51 63.1 
257 32.4 34.9 32.9 50.4 51.55 62.3 
258 32.85 35.55 34.3 50.1 52 62.05 
259 33.2 37.25 33.45 49.45 52.6 61.1 
260 33.6 36.55 34.25 51.25 53.5 63.95 
261 35.7 38.4 35.1 53.6 51.95 63.35 
262 36 38.2 38.1 55.9 55.3 65.55 
263 36.85 38.55 36 56.7 55.55 66.35 
264 35.6 39 38 55.6 55.2 65.6 
265 37.05 41.35 36.15 55.7 57.1 66.35 
266 39.2 40.45 37.85 58.05 56.6 69.75 
267 36.05 40 38.1 53.9 57.25 67.15 
268 36.6 40.35 37.3 54 57.85 67.1 
269 37.2 40.35 37.85 55.85 58.85 69.65 
270 37.65 41.05 38 55.5 58.6 68.85 
271 38.85 41.15 38.7 61.9 60.5 71.9 
272 38.35 42.65 39 59.8 60.15 74.75 
273 39.15 43.75 40.55 61.55 61.45 73.6 
274 40.85 41.4 43.55 60.35 61.1 73.1 
275 39.65 42.25 40 63.05 64.3 75.9 
276 40.25 44.55 41.2 64.8 62.7 78.2 
277 41.4 43.65 41.4 64.35 62.65 80.6 
278 41.05 43.35 41.8 65.4 62.7 81.75 
279 41.45 45.05 43.05 67.75 64.85 80.9 
280 42.2 46.55 43.85 78 66.4 85.25 
281 42.3 44.95 43.15 68.95 65.1 85.75 
282 42.75 45.15 43.4 69.55 66.55 86.35 
283 43.7 46.6 44.3 61.95 67.25 79.2 
284 44.55 48.05 45.2 60.45 68.65 78.7 
285 44.9 48.9 45 61.15 69.9 79.45 
286 45.8 48 45.75 63.15 70.2 81.2 
287 45.05 49.3 46.15 69.35 70.5 86.85 
288 45.65 50.35 46.35 70.85 71.1 86.3 
289 46.25 48.8 46.75 73.9 70.5 92.05 
290 46.7 48.8 47.2 75.4 72.55 95.1 
291 47.05 50.05 47.5 74.35 73.2 93.1 
292 47.35 52.05 48.2 75.85 73.15 96.2 
293 48.2 52.9 48.85 76.1 74.65 94.05 
294 49.75 52.9 52.95 81.3 75 97.35 
295 52.9 56.8 53.65 91.3 72.9 97.7 
296 51.15 53.25 50.35 77.65 77.8 94.5 
297 50.05 56.45 50.6 78.35 76.65 94.7 
298 51.15 55.5 51.25 78.15 79.4 96.4 
299 51.95 56.75 54.65 79.4 79.5 94.25 
300 51.6 55.6 52.7 78.45 79.9 95.55 
301 52.1 56.7 55 84 79.5 97.3 
302 52.5 56.85 53.05 77.85 80.85 96.9 
303 53.15 57.45 53.8 82.5 81.8 102.6 
304 53.9 58.65 54.7 81.85 84.2 103.95 
305 54.3 59.6 54.8 85.9 84.1 107.55 
306 55.2 60.55 55.25 86.15 86.55 103.8 
307 55.5 60.05 55.95 85.3 87.9 106 
308 58.95 58.35 56.85 88.7 87.5 112.05 
309 57.8 59.9 60.85 88.8 86.8 110.35 
310 57.05 60 58.2 90.35 89.6 113.55 
311 57.65 60.9 58.35 90.3 89.2 112.85 
312 61.15 62.8 58.8 92.8 91.9 111.25 
313 59 64.1 59.3 94.7 91.6 112.75 
314 59.5 62 59.8 94.05 92.3 117.25 
315 66.35 68.6 68.55 98.2 94.25 112.85 
316 67.35 65.85 65.35 95.35 96.25 113.2 
317 68.95 65.8 66.35 90.65 96.45 114.9 
318 69.65 67.85 71.4 94.85 95.5 114.15 
319 62.8 67.5 63.25 95.65 96 117.65 
320 63.6 68.9 64.05 98.55 95.55 125.6 
321 64.4 67.85 64.6 100.45 98.2 121.05 
322 64.9 68.6 66.4 98.2 99.35 124.6 
323 65.5 69.45 66.25 103.95 99.85 132.25 
324 66.3 70.1 70.15 103.35 96.85 129.3 
325 68.35 71.05 71.9 106.35 104.4 125 
326 67.9 71.35 67.65 108.7 96.8 130.9 
327 68.45 74.25 68.05 109.35 104.45 128.3 
328 68.85 71.25 69.65 106.4 103.8 132.35 
329 69.8 73.25 69.7 110.3 108.4 135.25 
330 70.15 75.1 69.75 103.95 106.55 128.6 
331 71.4 75 71.3 105.1 104.5 129.4 
332 71.45 76.45 71.6 105.35 104.3 131.5 
333 72.1 76.65 74.95 103.15 107.2 125.25 
334 75.85 82.6 81.1 123.5 108.65 131.4 
335 75.9 76.1 75.3 112.85 110.15 142.6 
336 75.7 79.2 79.1 117.35 109.4 141.9 
337 76.2 78.2 79 118.85 113.2 141.8 
338 77.9 79.35 76 123.6 116.3 147.65 
339 76.7 79.95 78.15 118.85 113.95 150.4 
340 79.1 84.55 77.2 118 116.75 146.15 
341 78 84.1 81.7 120.8 112.45 148.05 
342 79.75 80.55 78.45 117.4 116.6 146.55 
343 80.6 86.25 79.45 127.95 120.75 145.15 
344 80.3 83.25 79.7 123.4 119.6 152.05 
345 91.05 84.8 81.15 142.45 122.2 153.4 
346 84.35 86.1 80.95 123.7 123.2 150.2 
347 86.35 88.15 85.15 121.3 123.65 146.75 
348 90.05 88.15 86.15 119.25 123.4 144.4 
349 87.35 88.4 86.5 120.65 123.45 150.95 
350 88.25 90.35 88.2 123.7 128.6 156.75 
351 85.35 89.05 86.5 129.85 129.4 160.4 
352 86 90 88.5 130.6 130.95 167.65 
353 87.5 91.6 86.35 130.75 131.45 164.25 
354 87.2 90.8 87 135.05 130.15 166.1 
355 89.85 95.5 90.6 152.1 134.65 175.45 
356 89.2 92.25 91.8 139.95 134.5 161.8 
357 92.1 92.25 89.75 134.1 135.25 167.2 
358 98.7 98 103.7 160.2 133.05 171.65 
359 104.05 96.1 107.75 153.75 136.2 173.5 
360 96.1 97.15 96.25 153.95 139.6 177.2 
361 105.65 106.6 96.4 154.25 139.25 172.8 
362 110.65 99.35 109.45 168.5 140.55 177.75 
363 99.65 109.15 103.6 149.6 137.55 172.9 
364 100.25 100.1 95.7 151.85 141.6 173 
365 105.75 109 100.8 159.15 146.8 174.5 
366 100.45 100.05 95.8 141.45 140.9 171.8 
367 101.3 106.05 107.1 156.35 145.7 174.65 
368 103 106.7 99.2 167.2 136.4 181.9 
369 103.7 111.25 105.7 160.5 141.65 185.65 
370 105.25 116.75 104 160.85 154.95 187.3 
371 114.75 111.05 118 163.7 149.7 181.8 
372 105.55 110.8 106.8 166.95 149.4 194.8 
373 102 106.05 106.7 157.6 150.95 191.95 
374 106.85 117.5 107.75 176.5 157.25 186.7 
375 118.85 110.55 114.75 181.3 155.05 208.45 
376 115.2 117.8 117.25 173.8 150.05 189.25 
377 114.5 112.95 115.7 174.3 154.7 193.05 
378 108.8 109.85 110.35 181.55 151 204.05 
379 128.55 122.25 123.2 157.2 154.65 180.2 
